sentence,word,word2,sent_id,item_id,list,rating_mean,rating_sd,cloze_p_smoothed,cloze_s,competition,entropy
He came back to his senses when he heard his dad stand up to,him.,HIM,201,1670,1,3.6885245901639343,1.0089761081835615,0.10434782608695652,2.26002547857525,0.017391304347826084,3.3518106656398508
I dont,want,WANT,23,100,1,4.459016393442623,0.743275868297527,0.14893617021276595,1.9042374526547452,-0.22340425531914893,2.0981165314531287
He is,after,AFTER,88,513,1,3.2950819672131146,1.1451966686277364,0.007633587786259542,4.875197323201151,-0.08396946564885496,3.7936568770927472
Alec stood against the wall,to,TO,72,399,1,3.1147540983606556,1.0343816293763424,0.03669724770642202,3.305053521109253,-0.3761467889908257,2.5912212718753795
The police officer got out of the van and picked,up,UP,198,1627,1,4.39344262295082,0.7805700593068752,0.6847826086956522,0.37865385065750756,0.6195652173913044,1.3454552952964052
In the morning at breakfast Mike smiled at the letter,he,HE,162,1207,1,3.442622950819672,1.2453191045395342,0.21296296296296297,1.54663701119507,0.08333333333333334,2.9506087137315595
Phil let him go and Charlie fell to,the,THE,120,782,1,4.540983606557377,0.7653707269858024,0.6043956043956044,0.5035263212843792,0.41758241758241754,1.3957233314018003
We,should,SHOULD,176,1352,1,4.032786885245901,0.9655259898927993,0.0423728813559322,3.161246712031564,-0.11016949152542374,3.4100239186334127
Gordon felt his anger build,up.,UP,16,68,1,4.704918032786885,0.6414634906493631,0.45544554455445546,0.7864791203521644,0.36633663366336633,2.2317633818265326
Sam felt proud when he,went,WENT,42,206,1,3.6557377049180326,0.9641100542579729,0.00847457627118644,4.770684624465664,-0.10169491525423728,3.4279564536396347
James walked in to wake,Samuel,SAMUEL,165,1235,1,2.6557377049180326,1.5799287526303134,0.010752688172043012,4.532599493153255,-0.39784946236559143,1.9596335284036006
The police officer got out of the van,and,AND,198,1625,1,4.311475409836065,0.7197449457170546,0.6,0.5108256237659907,0.5052631578947369,1.6462059626501986
If I have,time,TIME,196,1594,1,4.19672131147541,0.8910606438611524,0.13861386138613863,1.9760631872260006,-0.1782178217821782,2.470459120944689
The brothers stood,up,UP,128,849,1,4.491803278688525,0.7664409266140941,0.19607843137254902,1.62924053973028,-0.05882352941176469,2.555735036875595
They turned round just,as,AS,108,675,1,4.524590163934426,0.8084255763942071,0.16326530612244897,1.8123787564307907,-0.20408163265306126,2.2678666798439577
He,knocked,KNOCKED,181,1410,1,3.1311475409836067,1.3099034294693328,0.007751937984496124,4.859812404361672,-0.07751937984496124,3.736799260834227
He sighed and,walked,WALKED,91,538,1,3.278688524590164,1.1850618484701352,0.016666666666666666,4.0943445622221,-0.09166666666666667,3.495184527595171
Ross sat back down and,shivered.,SHIVERED,27,123,1,2.5901639344262297,1.22986515765385,0.00819672131147541,4.804021044733257,-0.09016393442622951,3.552651194491844
He,had,HAD,156,1132,1,3.737704918032787,1.1090782861496944,0.007692307692307693,4.867534450455582,-0.06923076923076923,3.7330270912593075
Billy knocked on the door and,waited,WAITED,189,1511,1,4.147540983606557,1.0775909176456295,0.30357142857142855,1.1921383466789333,0.2589285714285714,2.9641109893883275
He folded his arms across his,chest,CHEST,155,1126,1,4.852459016393443,0.40149992004027807,0.9404761904761905,0.06136894637629213,0.9166666666666666,0.2884481194726651
He smiled again and felt like a man and not just the,kid.,KID,183,1445,1,3.2295081967213113,1.1459121930140899,0.024390243902439025,3.7135720667043075,-0.17073170731707318,3.4705320536912785
William sat down and tucked into his,breakfast.,BREAKFAST,71,394,1,3.5901639344262297,1.3586396282106092,0.018518518518518517,3.9889840465642745,-0.24074074074074073,2.9107164096440727
I,cant,CANT,185,1458,1,3.9508196721311477,1.1463889611616227,0.035398230088495575,3.34109345759245,-0.10619469026548672,3.255037205374161
He uses his belt,on,ON,20,87,1,2.819672131147541,1.3965218308511025,0.010526315789473684,4.553876891600541,-0.6,1.6171804401811685
Now the man is coming who will give it back to,me.,ME,170,1296,1,3.6065573770491803,1.187135046018918,0.17204301075268819,1.7600107709134747,-0.15053763440860213,2.090239692708125
She threatened to leave,before,BEFORE,171,1300,1,3.5737704918032787,0.9567134087322532,0.029411764705882353,3.526360524616161,-0.3627450980392157,2.4706707693765213
Michael knew they never hit him and that was,half,HALF,168,1272,1,2.1311475409836067,1.1471037418365957,0.008771929824561403,4.736198448394496,-0.08771929824561403,3.3188884931896108
If I have time at the end Ill fill you,in,IN,196,1601,1,4.737704918032787,0.6028167036024105,0.9058823529411765,0.0988458346366326,0.8705882352941177,0.43628133800822505
Billy,knocked,KNOCKED,189,1506,1,3.1311475409836067,1.347533671021069,0.00819672131147541,4.804021044733257,-0.12295081967213116,3.486552552650176
From the moment we leave this,spot,SPOT,180,1403,1,3.5081967213114753,1.163657320973721,0.018691588785046728,3.979681653901961,-0.21495327102803738,2.8710326856956327
He drank,too,TOO,154,1111,1,4.180327868852459,0.9748195853816827,0.12389380530973451,2.088330489097082,0.035398230088495575,3.2945918701548096
He,sat,SAT,64,339,1,3.377049180327869,1.157064308587751,0.00847457627118644,4.770684624465664,-0.11864406779661016,3.4241602267794846
She wound up talking to,Barry,BARRY,142,990,1,2.639344262295082,1.5709104248306238,0.009174311926605505,4.6913478822291435,-0.24770642201834864,2.861291731576493
Ill give,him,HIM,39,185,1,3.540983606557377,1.057887367851658,0.03225806451612903,3.4339872044851463,-0.6344086021505376,1.4240481593679322
I do not spare the birds a,killing.,KILLING,67,366,1,1.8032786885245902,1.2085759130914857,0.008333333333333333,4.787491742782046,-0.11666666666666667,3.4967638773901593
He went to the,door,DOOR,134,909,1,3.639344262295082,1.183677699449839,0.025423728813559324,3.672072335797555,-0.10169491525423728,3.3726814344619505
Tom stood up,and,AND,48,240,1,4.163934426229508,0.8201692481606558,0.46875,0.7576857016975165,0.30208333333333337,1.963941999006206
Run along,home,HOME,140,967,1,4.065573770491803,1.1382567440171598,0.030927835051546393,3.476098689835273,-0.4639175257731959,2.0136341965210245
He sat down and began,to,TO,64,343,1,4.622950819672131,0.5526884121042497,0.49504950495049505,0.7030975114131134,0.40594059405940597,2.1377246696570587
He sat his son up on the table and laid,his,HIS,195,1588,1,3.8688524590163933,0.9912182712209182,0.10638297872340426,2.240709689275958,-0.2021276595744681,2.153308568600178
He didnt seem to mind that she was screaming,in,IN,153,1107,1,2.7868852459016393,1.239821950904788,0.027522935779816515,3.592735593561034,-0.1651376146788991,2.99035689383949
He,came,CAME,201,1657,1,3.4262295081967213,1.3096948295110915,0.024,3.7297014486341915,-0.088,3.5749497496498566
We shall,arrive,ARRIVE,145,1017,1,3.2950819672131146,1.1880553058827124,0.008620689655172414,4.7535901911063645,-0.20689655172413793,3.2440487056045946
You shouldnt have been racing,my,MY,149,1060,1,2.6885245901639343,1.2979597272457695,0.1206896551724138,2.114532861491106,0.04310344827586207,3.3425812104701422
Scott,got,GOT,43,208,1,2.8524590163934427,1.2888763268026728,0.007751937984496124,4.859812404361672,-0.08527131782945736,3.746390358212625
The police officer got out of the van and picked up the two,cans.,CANS,198,1630,1,2.4918032786885247,1.2990118144147382,0.008695652173913044,4.74493212836325,-0.1217391304347826,3.295666511094258
If I have time at the end Ill fill you in on what,happened.,HAPPENED,196,1604,1,4.639344262295082,0.6064318286844204,0.4329896907216495,0.8370413602200144,0.3402061855670103,2.159112925357143
He heaved his,shoulders,SHOULDERS,87,506,1,3.442622950819672,1.284842275196122,0.01680672268907563,4.085976312551584,-0.10084033613445378,3.442097131986815
The brothers stood up and came,down,DOWN,128,852,1,3.278688524590164,1.1420908828545362,0.04716981132075472,3.0540011816779664,-0.09433962264150943,2.9748844419304366
Christopher groaned and lay his hands,across,ACROSS,102,629,1,3.7049180327868854,0.9547122130967349,0.03225806451612903,3.4339872044851463,-0.5376344086021506,1.5983292120874157
She threatened to leave before and this time she just,had,HAD,171,1306,1,3.2131147540983607,1.1988154444889987,0.030303030303030304,3.4965075614664802,-0.22222222222222224,2.551030725774713
Henry washed his hands and sat on the seat in,front,FRONT,197,1614,1,3.8852459016393444,0.8962581595302719,0.10309278350515463,2.272125885509337,-0.35051546391752575,2.055032115322928
They stared at the black wall and now,this,THIS,175,1348,1,2.4098360655737703,1.22986515765385,0.008547008547008548,4.762173934797756,-0.23076923076923078,3.202449241868486
Henry washed his hands and sat on the seat,in,IN,197,1613,1,3.19672131147541,1.1520947896642815,0.06666666666666667,2.70805020110221,-0.04166666666666667,3.484208920161189
The speaker turned to her,with,WITH,199,1635,1,3.19672131147541,1.1227892668283388,0.018867924528301886,3.9702919135521215,-0.3490566037735849,2.622122043119924
He smiled when she let out,a,A,92,549,1,4.360655737704918,0.7534982168801265,0.6666666666666666,0.40546510810816444,0.5913978494623655,1.4203944166411495
Alan told Jason he would just sit outside to,have,HAVE,169,1283,1,3.0655737704918034,1.2763078580945428,0.009174311926605505,4.6913478822291435,-0.21100917431192662,2.9949742041433405
I cant see any amount of talk getting you out of this,mess.,MESS,185,1469,1,4.442622950819672,0.7193652332423456,0.18095238095238095,1.7095213709910828,0.019047619047619035,2.795680843667743
If this were a movie instead of a,book,BOOK,204,1706,1,4.475409836065574,0.84865692669946,0.5625,0.5753641449035618,0.5,1.8202930344193038
One by one she placed her teeth about their necks,and,AND,192,1551,1,3.737704918032787,1.2234056201748502,0.5588235294117647,0.5819215454497209,0.5294117647058824,2.0189141906518704
We shall arrive properly or you will,never,NEVER,145,1022,1,3.081967213114754,1.1873651778512666,0.0196078431372549,3.9318256327243257,-0.23529411764705882,2.5842745629571997
Sam felt proud when,he,HE,42,205,1,4.524590163934426,0.6977716287594669,0.6344086021505376,0.45506204924753646,0.5698924731182795,1.5151704860618875
He put his hands in his pockets and,leaned,LEANED,157,1150,1,3.5081967213114753,1.149245416489622,0.016260162601626018,4.119037174812472,-0.08130081300813008,3.5896025365214266
The gate,was,WAS,143,997,1,4.39344262295082,0.8016376680394154,0.2736842105263158,1.2957803535790586,0.052631578947368446,2.195097978550241
He drove,his,HIS,132,887,1,4.426229508196721,0.7844109550790882,0.008264462809917356,4.795790545596741,-0.09090909090909091,3.5347435467137465
He was leaning against,his,HIS,93,555,1,3.4918032786885247,1.246634814472842,0.05434782608695652,2.91235066461494,-0.5978260869565217,1.4295275464393997
John,gave,GAVE,97,584,1,3.4262295081967213,1.2577627809387406,0.015503875968992248,4.1666652238017265,-0.07751937984496124,3.758659702186872
Five will be,listening,LISTENING,15,61,1,2.1311475409836067,1.189893690434368,0.00909090909090909,4.700480365792416,-0.20909090909090908,3.033041554762367
"The gate was double, one huge mass",of,OF,143,1002,1,4.081967213114754,1.0846671066462914,0.5686274509803921,0.5645298027378518,0.5392156862745098,1.9881080157475708
I cant see any amount of talk getting you out of,this,THIS,185,1468,1,4.737704918032787,0.6028167036024105,0.6483516483516484,0.43332206261113054,0.5494505494505495,1.3831294764131157
Andy felt good when,he,HE,188,1497,1,4.491803278688525,0.7443778346080286,0.5625,0.5753641449035618,0.4895833333333333,1.804108228836586
Michael knew they never hit him and that,was,WAS,168,1271,1,3.8852459016393444,1.0969406039182752,0.25742574257425743,1.3570239788197773,0.09900990099009901,2.5067795280167613
Steve,sat,SAT,45,220,1,3.2950819672131146,1.2429033523043531,0.008064516129032258,4.820281565605037,-0.0967741935483871,3.5913425225263267
Men,could,COULD,122,793,1,3.0491803278688523,1.3092775298893753,0.009009009009009009,4.709530201312334,-0.3333333333333333,2.82397897043788
She,couldnt,COULDNT,28,124,1,3.278688524590164,1.3432689919370036,0.01639344262295082,4.110873864173311,-0.0901639344262295,3.5544357028641183
She couldnt help feel,for,FOR,28,127,1,3.6721311475409837,1.1063650915710397,0.016666666666666666,4.0943445622221,-0.11666666666666667,3.497323919680974
"The gathered villagers took a step back, almost as",one,ONE,144,1014,1,3.6065573770491803,1.15871607860583,0.14736842105263157,1.9148195619852824,-0.26315789473684215,2.0893931719034025
I mostly just pick a dry white and drink,it,IT,187,1490,1,3.9508196721311477,0.973417168333576,0.3761467889908257,0.9777758155248358,0.3302752293577982,2.6969039864293416
The last thing Alex,felt,FELT,173,1322,1,3.80327868852459,1.1078458396237199,0.010638297872340425,4.543294782270004,-0.30851063829787234,2.178057762383845
He let Donald go and he,fell,FELL,182,1427,1,3.6557377049180326,1.2231822690784795,0.03225806451612903,3.4339872044851463,-0.05645161290322581,3.6463529960388126
His men will not follow,him,HIM,114,726,1,4.377049180327869,0.7992482807035935,0.40816326530612246,0.8960880245566356,0.2857142857142857,2.2128437106309278
He,called,CALLED,131,876,1,3.4754098360655736,1.25971633549051,0.008620689655172414,4.7535901911063645,-0.1810344827586207,3.243152057862736
Helen,ran,RAN,5,17,1,3.278688524590164,1.3432689919370036,0.015873015873015872,4.143134726391533,-0.10317460317460317,3.5717738360744744
They say he can breathe fire and kill a man with a single,word.,WORD,200,1656,1,2.4918032786885247,1.4097629921334547,0.037383177570093455,3.2865344733420154,-0.11214953271028036,2.970144137893846
John gave Bernard a hard slap,on,ON,97,589,1,4.032786885245901,0.9122721288949202,0.2127659574468085,1.547562508716013,-0.13829787234042554,2.0596178070692472
From the moment we leave this spot be very careful,what,WHAT,180,1407,1,3.098360655737705,1.2741653219890905,0.009708737864077669,4.634728988229636,-0.1650485436893204,2.745995299199055
In,the,THE,161,1187,1,4.262295081967213,0.9469537008087618,0.3425925925925926,1.0712133144799951,0.26851851851851855,2.726776370708367
You know that I will do whatever you,ask,ASK,148,1053,1,4.491803278688525,0.7216405111427742,0.11956521739130435,2.12389330425067,-0.42391304347826086,1.662183316503794
One by one,she,SHE,192,1544,1,3.6065573770491803,1.2148894123141438,0.07526881720430108,2.5866893440979424,-0.5376344086021505,1.5711058328670582
Men could be paid,to,TO,122,796,1,3.9836065573770494,1.0081634007555278,0.05263157894736842,2.9444389791664403,-0.14035087719298245,3.2052060862974834
The bored looking soldier continued looking,bored.,BORED,54,279,1,3.1311475409836067,1.3961304838262263,0.06956521739130435,2.665490586683414,-0.03478260869565217,3.3065464971973384
The,truck,TRUCK,174,1330,1,2.9508196721311477,1.4991801037922554,0.008064516129032258,4.820281565605037,-0.12903225806451613,3.5790154325310697
I cant see,any,ANY,185,1460,1,4.213114754098361,0.7553090779797954,0.03,3.506557897319982,-0.25,2.554514477898053
He,sighed,SIGHED,91,536,1,3.557377049180328,1.1765003210643339,0.01652892561983471,4.102643365036796,-0.12396694214876033,3.484374395689948
He folded his arms across his chest and put out his,lip.,LIP,155,1131,1,2.377049180327869,1.2931091011747553,0.009708737864077669,4.634728988229636,-0.15533980582524273,2.8565866616799283
If I have time,at,AT,196,1595,1,3.1311475409836067,1.1615422195808696,0.02040816326530612,3.8918202981106265,-0.37755102040816324,2.072011695068078
A,smile,SMILE,150,1066,1,2.7868852459016393,1.3797917004432305,0.007874015748031496,4.844187086458591,-0.09448818897637795,3.6835691465327445
There will be men to kill,either,EITHER,81,463,1,2.459016393442623,1.2325281672481603,0.017094017094017096,4.069026754237811,-0.08547008547008547,3.4637106349412705
In the morning at breakfast Mike,smiled,SMILED,162,1203,1,2.918032786885246,1.294798336514392,0.025210084033613446,3.6805112044434196,-0.1596638655462185,3.3649020427582035
You shouldnt have been racing my,truck,TRUCK,149,1061,1,3.3934426229508197,1.2010923989517508,0.01020408163265306,4.584967478670572,-0.5612244897959183,1.8631516734642846
Despite what Frank had told her,Ellen,ELLEN,130,871,1,2.5737704918032787,1.419612815681828,0.010416666666666666,4.564348191467836,-0.5208333333333334,1.8137005426756718
Dont die of,cold,COLD,85,490,1,3.0491803278688523,1.346925257864453,0.13793103448275862,1.9810014688665833,0.06034482758620689,3.3481887767311833
She would soon be found if she tried to,hide.,HIDE,127,846,1,3.5737704918032787,1.2035920736617622,0.1588785046728972,1.83961549040569,-0.009345794392523366,2.8997710835039934
Jacques sighed and tried to move out of the,way.,WAY,124,819,1,4.524590163934426,0.8084255763942071,0.7362637362637363,0.3061668871258839,0.6923076923076924,1.1693368103928203
If,I,I,196,1592,1,3.918032786885246,1.2818616925811863,0.010526315789473684,4.553876891600541,-0.2736842105263158,2.251684883985615
Bob sat at the entrance to the warehouse and made,up,UP,190,1527,1,3.0,1.2649110640673518,0.018691588785046728,3.979681653901961,-0.27102803738317754,2.803444547707911
Alice is,looking,LOOKING,34,155,1,3.459016393442623,1.1912706170556333,0.015625,4.1588830833596715,-0.0625,3.760339281070787
Billy knocked on the door and waited till he was,told,TOLD,189,1515,1,3.9508196721311477,0.920619890946615,0.06896551724137931,2.6741486494265287,-0.017241379310344834,3.426278195191041
Whether Peter heard him or,not,NOT,110,692,1,4.524590163934426,0.8870655251454874,0.8089887640449438,0.21197025071608455,0.7752808988764045,0.8769160763977119
Ill break your neck,if,IF,115,734,1,4.344262295081967,0.834370938724485,0.4,0.916290731874155,0.3142857142857143,2.483544268996129
The truck,was,WAS,174,1331,1,4.098360655737705,0.7896184317501477,0.14563106796116504,1.9266787871274258,0.009708737864077666,2.791909810019694
He rose from his seat and stopped mid way,when,WHEN,194,1574,1,3.459016393442623,1.2854800723439637,0.06862745098039216,2.6790626642289577,-0.16666666666666666,2.6165104376334405
Tell,me,ME,78,437,1,4.459016393442623,0.7653707269858026,0.7142857142857143,0.3364722366212129,0.6483516483516484,1.2261923442949032
Jamie took a cigarette and,Andy,ANDY,125,824,1,2.2950819672131146,1.3459106247578498,0.009523809523809525,4.653960350157523,-0.4476190476190476,2.3461896905774897
Underneath the table her hand,was,WAS,109,684,1,4.213114754098361,0.8777766249329544,0.09734513274336283,2.32949254591397,0.008849557522123894,3.2877505266650466
Finally Maria,sat,SAT,152,1089,1,3.3114754098360657,1.1480560904787038,0.032,3.4420193761824103,-0.032,3.6896555282904404
Ian gave Geoffrey,a,A,116,742,1,4.491803278688525,0.7216405111427743,0.5247524752475248,0.6448286032891375,0.45544554455445546,2.0649167676556877
A tube train took,his,HIS,14,57,1,2.7704918032786887,1.3215324768736083,0.009345794392523364,4.672828834461906,-0.11214953271028037,3.06434002761192
He folded his arms across his chest and put out,his,HIS,155,1130,1,4.19672131147541,1.0617543992711238,0.4725274725274725,0.7496593908232876,0.25274725274725274,1.6198844155708867
Run along home now and,bring,BRING,140,970,1,3.3114754098360657,1.1036452269118215,0.00909090909090909,4.700480365792416,-0.12727272727272726,3.1302638339612257
He smiled when she let out a big,yawn.,YAWN,92,551,1,3.7540983606557377,1.1053768242084996,0.10309278350515463,2.272125885509337,-0.16494845360824742,2.3583871897367708
I was thinking of getting the band,together,TOGETHER,94,566,1,4.295081967213115,0.9191347796538866,0.23655913978494625,1.44155703979494,-0.2150537634408602,1.7611589185693708
I know Richard drinks a little too much and has a bit of,a,A,203,1697,1,4.60655737704918,0.6397574677065824,0.6063829787234043,0.5002435144354537,0.5531914893617021,1.6501498188041421
You give me,a,A,111,698,1,4.032786885245901,0.9655259898927993,0.0990990990990991,2.3116349285139637,-0.07207207207207207,3.1380330110562955
He,called,CALLED,63,332,1,3.4098360655737703,1.256676160622774,0.007575757575757576,4.882801922586371,-0.06818181818181818,3.829205295898475
He was,built,BUILT,158,1155,1,2.9508196721311477,1.2573282455030947,0.007246376811594203,4.927253685157204,-0.036231884057971016,3.999700751105204
This mans hair,is,IS,10,39,1,4.131147540983607,0.8057172753943238,0.25961538461538464,1.3485540331370434,-0.057692307692307654,2.380986389536441
He slammed the knife down on the,lamb.,LAMB,65,352,1,1.819672131147541,1.2042729026444612,0.011111111111111112,4.499809670330265,-0.6555555555555556,1.245721237091099
Bruce is looking for,someone,SOMEONE,179,1389,1,3.622950819672131,1.035437659900867,0.08571428571428572,2.456735772821304,-0.1142857142857143,2.846929954026274
You know better than to talk to your mother like,that.,THAT,147,1045,1,4.901639344262295,0.35142178042853695,0.8620689655172413,0.14842000511827336,0.8275862068965517,0.6423147528418576
He called,out,OUT,63,333,1,4.163934426229508,0.8790208163794617,0.07547169811320754,2.583997552432231,-0.25471698113207547,2.6402009374929354
Brian sat down at an empty table and,began,BEGAN,191,1537,1,4.0,1.0327955589886444,0.07563025210084033,2.58189891577531,0.0,3.478224136753708
Bob sat at the entrance to the warehouse,and,AND,190,1525,1,4.377049180327869,0.8595334863794722,0.3577981651376147,1.0277862360994972,0.29357798165137616,2.738032107546638
He heaved,his,HIS,87,505,1,3.8688524590163933,1.024295039463168,0.10185185185185185,2.2842359543258492,-0.08333333333333333,2.989398955687993
Things were looking up,again.,AGAIN,9,36,1,3.918032786885246,1.0534875725768056,0.039603960396039604,3.228826155721369,-0.33663366336633666,2.4378591665402665
Brian sat,down,DOWN,191,1531,1,4.557377049180328,0.7421722658056872,0.46938775510204084,0.7563260821814768,0.40816326530612246,2.138212241422561
One by one she,placed,PLACED,192,1545,1,3.819672131147541,1.1475800149490152,0.015384615384615385,4.174387269895637,-0.05384615384615385,3.790881350402395
He sighed and walked back to the,wood,WOOD,91,542,1,2.360655737704918,1.278446803550385,0.009259259259259259,4.68213122712422,-0.23148148148148145,2.9221944279469523
Jimmy liked the fact they were,calling,CALLING,118,763,1,2.918032786885246,1.2555885999165637,0.008064516129032258,4.820281565605037,-0.10483870967741934,3.551612267174932
Jamie,took,TOOK,125,820,1,3.180327868852459,1.3602474863214102,0.015873015873015872,4.143134726391533,-0.07936507936507936,3.6723008883909167
Charles felt sick to the pit of,his,HIS,101,622,1,4.622950819672131,0.8399193299801577,0.7333333333333333,0.31015492830383956,0.6333333333333333,1.0998508403568286
He staggered into the chair at,his,HIS,66,358,1,3.3442622950819674,1.250136604557536,0.04716981132075472,3.0540011816779664,-0.29245283018867924,2.6828334349180882
He held his mother tight and she cried,into,INTO,133,903,1,4.180327868852459,0.826805029845035,0.14049586776859505,1.962577201540525,0.08264462809917356,3.5124244979360917
The speaker turned to her with a smile and a bow,of,OF,199,1641,1,2.5901639344262297,1.3708519149337743,0.07207207207207207,2.630088659632498,-0.13513513513513514,3.061242891507441
Gordon,felt,FELT,16,64,1,3.3278688524590163,1.2072187246643948,0.008130081300813009,4.812184355372417,-0.08943089430894309,3.6207422436854335
Let us leave,these,THESE,69,376,1,3.442622950819672,1.2044997601208343,0.018691588785046728,3.979681653901961,-0.14953271028037382,2.9807383711717574
They,turned,TURNED,108,672,1,3.442622950819672,1.2848422751961222,0.00819672131147541,4.804021044733257,-0.09016393442622951,3.538502895846674
He,is,IS,88,512,1,4.065573770491803,1.0625261166831994,0.07317073170731707,2.614959778036198,-0.03252032520325204,3.548976676561601
He had another shock when they told him he,was,WAS,156,1140,1,4.491803278688525,0.766440926614094,0.4117647058823529,0.8873031950009028,0.3333333333333333,2.374064196716621
John gave Bernard,a,A,97,586,1,4.590163934426229,0.6677586684905426,0.48484848484848486,0.723918839226699,0.41414141414141414,2.1140809097981075
He needed putting in,his,HIS,18,77,1,3.901639344262295,1.193104047331817,0.2736842105263158,1.2957803535790586,0.052631578947368446,2.222649646972333
Hes broken his,wrists,WRISTS,21,91,1,3.3934426229508197,1.2816485285832744,0.009433962264150943,4.663439094112067,-0.2358490566037736,2.80165278926033
They stared at the black wall and,now,NOW,175,1347,1,2.4754098360655736,1.34915476474531,0.007751937984496124,4.859812404361672,-0.07751937984496124,3.741819647017512
